job_title,experience_years,salary_mid,source_name
frontend engineer,3.0,19000.0,Kaggle_EgyTech_participants_data
mobile development engineer,8.0,115000.0,Kaggle_EgyTech_participants_data
data engineer,4.0,33000.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,17500.0,Kaggle_EgyTech_participants_data
frontend engineer,3.0,18500.0,Kaggle_EgyTech_participants_data
frontend engineer,6.0,119750.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,8000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,49000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,12000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,1.0,24000.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,16270.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,13000.0,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,30000.0,Kaggle_EgyTech_participants_data
backend engineer,0.0,27800.0,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",1.0,15000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,25000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,31750.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,25000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,3.0,52690.0,Kaggle_EgyTech_participants_data
mobile development engineer,2.0,43500.0,Kaggle_EgyTech_participants_data
systems architect,12.0,50000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,15000.0,Kaggle_EgyTech_participants_data
mobile development engineer,3.0,16000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,32500.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,14000.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,16000.0,Kaggle_EgyTech_participants_data
frontend engineer,7.0,55700.0,Kaggle_EgyTech_participants_data
embedded systems engineer,2.0,39500.0,Kaggle_EgyTech_participants_data
data engineer,2.0,35000.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,7000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,3.0,38894.8,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,28000.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,56730.0,Kaggle_EgyTech_participants_data
full-stack engineer,15.0,25000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,2.0,46666.0,Kaggle_EgyTech_participants_data
devops / sre / platform,5.0,80000.0,Kaggle_EgyTech_participants_data
backend engineer,10.0,95800.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,16765.0,Kaggle_EgyTech_participants_data
ai & automation engineer,3.0,28000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,3.0,20000.0,Kaggle_EgyTech_participants_data
data engineer,6.0,175930.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,16000.0,Kaggle_EgyTech_participants_data
data analytics,1.0,16100.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,17500.0,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",2.0,25000.0,Kaggle_EgyTech_participants_data
backend engineer,5.0,88615.0,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",2.0,23500.0,Kaggle_EgyTech_participants_data
frontend engineer,5.0,90052.0,Kaggle_EgyTech_participants_data
devops / sre / platform,8.0,130000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,1.0,43000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,3.0,54998.0,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,30000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,16250.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,17001.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,15000.0,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,24000.0,Kaggle_EgyTech_participants_data
security/network engineer,9.0,144658.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,17800.0,Kaggle_EgyTech_participants_data
full-stack engineer,16.0,35000.0,Kaggle_EgyTech_participants_data
frontend engineer,4.0,30000.0,Kaggle_EgyTech_participants_data
technical support,1.0,5400.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,20000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,12000.0,Kaggle_EgyTech_participants_data
full-stack engineer,7.0,55250.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,40500.0,Kaggle_EgyTech_participants_data
technical support,2.0,15500.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,35446.0,Kaggle_EgyTech_participants_data
