job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean,job_title_standardized
front end engineer,40000.0,2.5,Unknown,Unknown,Senior,front end engineer
back end engineer,32000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
back end engineer,20000.0,0.5,Unknown,Unknown,Junior,back end engineer
back end engineer,26000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,19000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,18000.0,1.5,Unknown,Unknown,Junior,front end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",33000.0,2.5,Unknown,Unknown,Mid-Level,software testing engineer
front end engineer,18500.0,1.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,100000.0,6.0,Unknown,Unknown,Lead/Manager,full stack engineer
front end engineer,18000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,15200.0,1.5,Unknown,Unknown,Junior,front end engineer
back end engineer,28000.0,1.5,Unknown,Unknown,Junior,back end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",72080.0,4.0,Unknown,Unknown,Junior,software testing engineer
full stack engineer,22000.0,1.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,25000.0,1.5,Unknown,Unknown,Mid-Level,full stack engineer
full stack engineer,12000.0,2.5,Unknown,Unknown,Junior,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",23500.0,2.5,Unknown,Unknown,Senior,software testing engineer
back end engineer,56000.0,6.0,Unknown,Unknown,Senior,back end engineer
front end engineer,15000.0,0.5,Unknown,Unknown,Junior,front end engineer
back end engineer,74500.0,1.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,16500.0,0.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,20000.0,0.5,Unknown,Unknown,Junior,back end engineer
front end engineer,59000.0,4.0,Unknown,Unknown,Senior,front end engineer
back end engineer,23000.0,0.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,120000.0,7.0,Unknown,Unknown,Lead/Manager,full stack engineer
front end engineer,78000.0,6.0,Unknown,Unknown,Lead/Manager,front end engineer
front end engineer,35000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,28600.0,2.5,Unknown,Unknown,Senior,back end engineer
back end engineer,110000.0,6.0,Unknown,Unknown,Senior,back end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",60000.0,2.5,Unknown,Unknown,Mid-Level,software testing engineer
back end engineer,25000.0,0.5,Unknown,Unknown,Junior,back end engineer
front end engineer,22000.0,1.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,60000.0,4.0,Unknown,Unknown,Senior,full stack engineer
full stack engineer,4500.0,0.5,Unknown,Unknown,Unknown,full stack engineer
front end engineer,40000.0,6.0,Unknown,Unknown,Senior,front end engineer
front end engineer,10000.0,1.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,20000.0,1.5,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,30000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,6700.0,0.5,Unknown,Unknown,Junior,back end engineer
back end engineer,35000.0,1.5,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,110000.0,6.0,Unknown,Unknown,Senior,front end engineer
front end engineer,75000.0,4.0,Unknown,Unknown,Senior,front end engineer
back end engineer,40000.0,4.0,Unknown,Unknown,Senior,back end engineer
front end engineer,176000.0,7.0,Unknown,Unknown,Mid-Level,front end engineer
