job_title,experience_years,salary_mid,work_mode,city,salary_date,source_name
backend engineer,3.0,31000.0,Hybrid,Cairo,2024-04-02 14:50:26,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,28000.0,Hybrid,Cairo,2024-04-02 14:51:02,Kaggle_EgyTech_participants_data
backend engineer,5.0,49816.0,Hybrid,Cairo,2024-04-02 14:52:09,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,20500.0,Office,Cairo,2024-04-02 14:53:41,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",1.0,13000.0,Hybrid,Cairo,2024-04-02 14:54:58,Kaggle_EgyTech_participants_data
frontend engineer,6.0,39000.0,Remote/Egypt,Cairo,2024-04-02 14:55:43,Kaggle_EgyTech_participants_data
engineering manager,8.0,167000.0,Remote/Egypt,Cairo,2024-04-02 14:57:36,Kaggle_EgyTech_participants_data
backend engineer,2.0,11700.0,Hybrid,Alexandria,2024-04-02 14:57:43,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,14600.0,Hybrid,Alexandria,2024-04-02 14:58:37,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,28000.0,Hybrid,Cairo,2024-04-02 15:03:09,Kaggle_EgyTech_participants_data
