job_title,experience_years,salary_original,currency_detected,salary_original_numeric,salary_mid,work_mode,city,salary_date,source_name
full-stack engineer,1.0,16000,EGP,16000.0,16000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
software engineer,1.0,22700,EGP,22700.0,22700.0,Hybird,,2024-01-25,Kaggle_egyptian_salaries_2024
full stack .net developer,1.0,10000,EGP,10000.0,10000.0,Hybird,Mansoura,2024-01-01,Kaggle_egyptian_salaries_2024
frontend developer react,1.0,15800,EGP,15800.0,15800.0,Hybird,cairo,2023-10-01,Kaggle_egyptian_salaries_2024
java spring dev,0.0,13000,EGP,13000.0,13000.0,Hybird,cairo,2024-02-20,Kaggle_egyptian_salaries_2024
netsuite technical developer (javascript developer),2.0,27000,EGP,27000.0,27000.0,Remotley,cairo,2024-02-01,Kaggle_egyptian_salaries_2024
front end,1.0,8000,EGP,8000.0,8000.0,On Site,cairo,2024-02-05,Kaggle_egyptian_salaries_2024
ios developer,1.0,15000,EGP,15000.0,15000.0,Hybird,cairo,2023-03-01,Kaggle_egyptian_salaries_2024
flutter developer,1.5,12000,EGP,12000.0,12000.0,On Site,El mohandseen,2024-01-01,Kaggle_egyptian_salaries_2024
software engineer,1.5,11.5k,EGP,11500.0,11500.0,On Site,Smart Village,2024-02-25,Kaggle_egyptian_salaries_2024
flutter developer,4.0,18000,EGP,18000.0,18000.0,On Site,Menofia,2024-01-01,Kaggle_egyptian_salaries_2024
machine learning engineer,2.0,35000,EGP,35000.0,35000.0,Hybird,Cairo,2023-09-01,Kaggle_egyptian_salaries_2024
lead mobile engineer,6.5,34000,EGP,34000.0,34000.0,Hybird,Cairo,2024-02-28,Kaggle_egyptian_salaries_2024
senior front end,4.0,1400 usd,USD,1400.0,70000.0,Remotley,Istanbul,2024-02-05,Kaggle_egyptian_salaries_2024
nodejs developer,1.0,15k,EGP,15000.0,15000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
flutter developer,2.0,8000,EGP,8000.0,8000.0,On Site,Mansoura,2024-02-20,Kaggle_egyptian_salaries_2024
fullstack developer,1.5,15k,EGP,15000.0,15000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
frontend developer (angular),2.5,25,EGP,25.0,25.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
flutter developer,3.0,25000,EGP,25000.0,25000.0,Remotley,Riyadh,1998-12-25,Kaggle_egyptian_salaries_2024
flutter developer,2.0,5000,EGP,5000.0,5000.0,Remotley,Dubai,2024-02-20,Kaggle_egyptian_salaries_2024
data scientist,5.0,20000,EGP,20000.0,20000.0,Remotley,Dubai,2024-02-20,Kaggle_egyptian_salaries_2024
data engineer,0.33,21000,EGP,21000.0,21000.0,Remotley,,2023-11-01,Kaggle_egyptian_salaries_2024
data analysis,3.0,10500,EGP,10500.0,10500.0,On Site,Luxor,2024-02-27,Kaggle_egyptian_salaries_2024
frontend vuejs,1.5,7000,EGP,7000.0,7000.0,Remotley,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
data engineer,2.0,52000,EGP,52000.0,52000.0,Remotley,cairo,2024-02-20,Kaggle_egyptian_salaries_2024
.net full stack developer,0.0,10k,EGP,10000.0,10000.0,On Site,October,2024-02-25,Kaggle_egyptian_salaries_2024
team lead,6.0,38000,EGP,38000.0,38000.0,Hybird,"Hurghada, Egypt",2024-01-01,Kaggle_egyptian_salaries_2024
vuejs developer,0.0,14000 egp,EGP,14000.0,14000.0,Hybird,,2024-02-20,Kaggle_egyptian_salaries_2024
"software engineer nodejs, react native",3.0,16000+3000 flex,EGP,16000.0,16000.0,Remotley,Maadi,2024-02-01,Kaggle_egyptian_salaries_2024
software engineer stack java,1.0,"15,000 LE",EGP,15000.0,15000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
react developer,1.5,6000,EGP,6000.0,6000.0,used to be onsite but now im remotley,cairo,2023-05-20,Kaggle_egyptian_salaries_2024
php developer,1.0,5000,EGP,5000.0,5000.0,Remotley,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
php developer,2.0,20k ~ 25k,EGP,20000.0,20000.0,On Site,Cairo,2024-01-25,Kaggle_egyptian_salaries_2024
frontend & wordpress deveoper,1.5,30000,EGP,30000.0,30000.0,Remotley,الرياض,2024-01-01,Kaggle_egyptian_salaries_2024
backend developer - node,1.0,6000,EGP,6000.0,6000.0,Remotley,KSA,2023-10-10,Kaggle_egyptian_salaries_2024
flutter developer,0.0,8000-9000 L.E,EGP,8500.0,8500.0,Hybird,"Cairo, New Cairo",2024-02-11,Kaggle_egyptian_salaries_2024
software engineer,2.0,15000,EGP,15000.0,15000.0,Hybird,Giza,2024-02-01,Kaggle_egyptian_salaries_2024
.net developer backend,0.25,6000,EGP,6000.0,6000.0,Hybird,Cairo,2024-01-03,Kaggle_egyptian_salaries_2024
dotnet developer,1.0,6000,EGP,6000.0,6000.0,On Site,Cairo,2024-02-28,Kaggle_egyptian_salaries_2024
software engineer,1.5,19000,EGP,19000.0,19000.0,Hybird,Cairo,2023-12-31,Kaggle_egyptian_salaries_2024
php developer laravel,4.0,20000,EGP,20000.0,20000.0,On Site,Cairo,2023-07-01,Kaggle_egyptian_salaries_2024
devops,2.0,15000,EGP,15000.0,15000.0,Remotley,"Cairo, Saudia",2023-11-01,Kaggle_egyptian_salaries_2024
react developer,1.0,6000,EGP,6000.0,6000.0,On Site,,2023-09-01,Kaggle_egyptian_salaries_2024
junior software engineer,1.0,10000,EGP,10000.0,10000.0,On Site,Cairo,2023-01-01,Kaggle_egyptian_salaries_2024
junior software engineer,2.0,16000,EGP,16000.0,16000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
junior software engineer,2.0,20000,EGP,20000.0,20000.0,Hybird,Cairo,2023-10-21,Kaggle_egyptian_salaries_2024
software engineer,3.0,29000,EGP,29000.0,29000.0,On Site,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
senior java backend,4.0,2400$,USD,2400.0,120000.0,Remotley,Riyadh,2024-02-21,Kaggle_egyptian_salaries_2024
full stack python and react,0.0,15000,EGP,15000.0,15000.0,Hybird,Cairo,2024-02-22,Kaggle_egyptian_salaries_2024
react developer,3.0,18000,EGP,18000.0,18000.0,On Site,Giza,2024-03-27,Kaggle_egyptian_salaries_2024
nodejs developer,0.5,9000,EGP,9000.0,9000.0,On Site,New Damietta,2024-01-30,Kaggle_egyptian_salaries_2024
django,0.0,15k,EGP,15000.0,15000.0,Hybird,,2024-02-28,Kaggle_egyptian_salaries_2024
react developer,1.0,10000,EGP,10000.0,10000.0,Remotley,Cairo,2024-02-10,Kaggle_egyptian_salaries_2024
full stack .net developer,0.17,15300,EGP,15300.0,15300.0,Hybird,Kuwait,2024-02-22,Kaggle_egyptian_salaries_2024
.net developer,2.0,12000,EGP,12000.0,12000.0,On Site,10th Of Ramadan,2024-02-22,Kaggle_egyptian_salaries_2024
data analyst,2.0,14000,EGP,14000.0,14000.0,On Site,"Cairo, Dubai, Ryadh",2024-02-22,Kaggle_egyptian_salaries_2024
nodejs backend developer,1.0,0,EGP,0.0,0.0,On Site,,2024-02-22,Kaggle_egyptian_salaries_2024
react native developer,4.0,30000,EGP,30000.0,30000.0,Remotley,,2023-01-01,Kaggle_egyptian_salaries_2024
data engineer,1.0,11000,EGP,11000.0,11000.0,Hybird,,2024-02-26,Kaggle_egyptian_salaries_2024
backend developer,3.0,500k,EGP,500000.0,500000.0,On Site,Cairo,2024-01-31,Kaggle_egyptian_salaries_2024
