Title,Company,Location,Salary,Experience,Job_Type,Skills,URL
Network Engineer,MDS for Computer Systems (MDS CS),"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/hmghsogx8gq3-network-engineer-mds-for-computer-systems-mds-cs-riyadh-saudi-arabia
"Project Planning Engineer vacancy in Heliopolis, Cairo",N/A,N/A,Confidential,3 To 7 Years,N/A,Construction Project Management,https://wuzzuf.net/jobs/p/tq6quxlqecrh-project-planning-engineer-cairo-egypt
Planning Manager (Food Industry),UNITED FOOD INDUSTRY Group,"Badr City, Cairo",Confidential,12 To 15 Years,N/A,Supply Chain Management,https://wuzzuf.net/jobs/p/r9xrmmpklfvf-planning-manager-food-industry-united-food-industry-group-cairo-egypt
Civil Site Engineer,Osool Housing and Development,"Obour City, Cairo",Confidential,3 To 7 Years,N/A,Site supervision & execution,https://wuzzuf.net/jobs/p/oef5tfuntvl8-civil-site-engineer-osool-housing-and-development-cairo-egypt
Engineer (m/f/i) - Fire Suppression (Certification),UL Solutions,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/giffo2imz7w1-engineer-mfi-fire-suppression-certification-ul-solutions-dubai-united-arab-emirates
Document Controller (El-Alamein City),AluNile,"Mohandessin, Giza",Confidential,2 To 4 Years,N/A,Admin,https://wuzzuf.net/jobs/p/fkxqnqqozq9x-document-controller-el-alamein-city-alunile-giza-egypt
Technical Support Engineer,Comtec,"Heliopolis, Cairo",Confidential,2 To 3 Years,N/A,Engineering,https://wuzzuf.net/jobs/p/cgvdka7n3ogw-technical-support-engineer-comtec-cairo-egypt
Junior BIM / Rivet Modeler,Elemental Engineering Design,"Agouza, Giza",Confidential,2 To 3 Years,N/A,Revit,https://wuzzuf.net/jobs/p/p3pez6b9k0lr-junior-bim-rivet-modeler-elemental-engineering-design-giza-egypt
3D Design Engineer,Lecico Egypt,"Alexandria, Egypt",Confidential,More Than 1 Year,N/A,AutoCAD,https://wuzzuf.net/jobs/p/o64pmfrauics-3d-design-engineer-lecico-egypt-alexandria-egypt
Research & Development Electrical Engineer,UNI Power,"6th of October, Giza",Confidential,3 To 5 Years,N/A,Electrical system design,https://wuzzuf.net/jobs/p/3gfe76v8dgwr-research-development-electrical-engineer-uni-power-giza-egypt
Junior Purchasing Specialist,BuildIn,"Heliopolis, Cairo",Confidential,2 To 5 Years,N/A,Problem Solving,https://wuzzuf.net/jobs/p/d7fauacfbyd6-junior-purchasing-specialist-buildin-cairo-egypt
Quantity Surveying Engineer,SHERIF EL-GOHARY & CO.,"Giza, Egypt",Confidential,3 To 5 Years,N/A,Quantity Surveying,https://wuzzuf.net/jobs/p/rbrg0dwojwej-quantity-surveying-engineer-sherif-el-gohary-co-giza-egypt
Finance Manager Reporting & Analytics,Johnson & Johnson,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Finance,https://wuzzuf.net/jobs/p/g/nnyvvvtjjzn5-finance-manager-reporting-analytics-johnson-johnson-dubai-united-arab-emirates
"Senior Mechanical Design Engineer HVAC, FF, PL & Senior Electrical Design Engineer Power& LC",Reavera,"6th of October, Giza",Confidential,5 To 8 Years,N/A,HVAC System Design,https://wuzzuf.net/jobs/p/oxgkie23shza-senior-mechanical-design-engineer-hvac-ff-pl-senior-electrical-design-engineer-power-lc-reavera-giza-egypt
Database Administrator (DBA),البيت الأهلي للتمويل,"Makkah, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/g1u3w90oyage-database-administrator-dba-albyt-alahly-lltmoyl-makkah-saudi-arabia
Senior Security Engineer,Calo Inc.,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/tpedvr5f0ggv-senior-security-engineer-calo-inc-dubai-united-arab-emirates
Senior Mechanical Maintenance Engineer,Energy Job Search,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Mechanical Engineering,https://wuzzuf.net/saudi/jobs/p/g/jidh72tvhyut-senior-mechanical-maintenance-engineer-energy-job-search-riyadh-saudi-arabia
Financial Planning and Analysis Manager,The Sanad Group,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Finance,https://wuzzuf.net/jobs/p/g/wig07lq8ex4v-financial-planning-and-analysis-manager-the-sanad-group-dubai-united-arab-emirates
